"レンダリングサイズ (現在:10%)","Rendering size (Now:10%)"
"レンダリングサイズ (現在:20%)","Rendering size (Now:20%)"
"レンダリングサイズ (現在:30%)","Rendering size (Now:30%)"
"レンダリングサイズ (現在:40%)","Rendering size (Now:40%)"
"レンダリングサイズ (現在:50%)","Rendering size (Now:50%)"
"レンダリングサイズ (現在:60%)","Rendering size (Now:60%)"
"レンダリングサイズ (現在:70%)","Rendering size (Now:70%)"
"レンダリングサイズ (現在:80%)","Rendering size (Now:80%)"
"レンダリングサイズ (現在:90%)","Rendering size (Now:90%)"
"レンダリングサイズ (現在:100%)","Rendering size (Now:100%)"
"レンダリングサイズ (現在:150%)","Rendering size (Now:150%)"
"レンダリングサイズ (現在:200%)","Rendering size (Now:200%)"
"レンダリングサイズ (現在:300%)","Rendering size (Now:300%)"
"スレッド数を切り替え (現在 自動検知)","Switch the number of threads (Now Auto-detect)"
"スレッド数を切り替え (現在 定値：1)","Switch the number of threads (Now 1)"
"スレッド数を切り替え (現在 定値：2)","Switch the number of threads (Now 2)"
"スレッド数を切り替え (現在 定値：3)","Switch the number of threads (Now 3)"
"スレッド数を切り替え (現在 定値：4)","Switch the number of threads (Now 4)"
"スレッド数を切り替え (現在 定値：5)","Switch the number of threads (Now 5)"
"スレッド数を切り替え (現在 定値：6)","Switch the number of threads (Now 6)"
"スレッド数を切り替え (現在 定値：7)","Switch the number of threads (Now 7)"
"スレッド数を切り替え (現在 定値：8)","Switch the number of threads (Now 8)"
"﻿全モディファイア適用","All modifiers applied"
"選択オブジェクトの全てのモディファイアを適用します","Applies to all modifiers of the selected object"
"全モディファイア削除","Remove all modifiers"
"選択オブジェクトの全てのモディファイアを削除します","Remove all modifiers of the selected object"
"ビューへのモディファイア適用を切り替え","Modifiers apply to the view switching"
"選択オブジェクトの全てのモディファイアのビューへの適用を切り替えます","Shows or hides the application to view all modifiers of the selected object"
"ビューにモディファイアを適用しました","Applying modifiers to view"
"ビューへのモディファイア適用を解除しました","Unregistered modifiers apply to the view"
"モディファイア使用を同期","Synchronized modifier use"
"選択オブジェクトのレンダリング時/ビュー時のモディファイア使用を同期します","The synchronized modifier used when rendering the selection / view"
"レンダリング → ビュー","Rendering → view"
"ビュー → レンダリング","View-rendering"
"演算","Calculus"
"全モディファイアの展開/閉じるを切り替え","All modifiers expand / collapse toggle"
"アクティブオブジェクトの全モディファイアを展開/閉じるを切り替え(トグル)します","Expand / collapse all modifiers of the active objects to the switch (toggle)"
"モディファイアが1つもありません","Not a single modifier"
"モディファイア適用+統合","Modifiers apply + integration"
"オブジェクトのモディファイアを全適用してから統合します","The integration from the object's modifiers to apply all"
"サブサーフ除く","Excluding the Subsurf"
"アーマチュア除く","Except the armature"
"ミラー除く","Except for mirrors"
"モディファイア名を自動でリネーム","Modifier name auto-rename."
"選択オブジェクトのモディファイア名を参照先などの名前にリネームします","Rename the selected object modifier name refers to, for example,"
"ブーリアンを追加","Add a Boolean"
"アクティブオブジェクトにその他選択オブジェクトのブーリアンを追加","Additional Boolean selected objects to an active object"
"交差","Cross"
"統合","Integration"
"差分","Difference"
"演算","Calculus"
"ブーリアンを適用","Apply the Boolean"
"アクティブオブジェクトにその他選択オブジェクトのブーリアンを適用","Active objects for other Boolean objects"
"交差","Cross"
"統合","Integration"
"差分","Difference"
"演算","Calculus"
"レンダリング時の細分化数を設定","Rendering subdivision number"
"選択したオブジェクトのサブサーフモディファイアのレンダリング時の細分化数を設定します","Sets the number of subdivisions during rendering of the selected object subsurfmodifaia"
"分割数","Split number"
"プレビュー・レンダリングの細分化数を同じに","Equivalent to a subdivision of the preview rendering"
"選択したオブジェクトのサブサーフモディファイアのプレビュー時とレンダリング時の細分化数を同じに設定します","Set in the same subdivision of the subsurfmodifaia of the selected object when you preview and rendering time"
"プレビュー → レンダリング","Preview-rendering"
"レンダリング → プレビュー","Rendering-preview"
"設定方法","How to set up"
"最適化表示を設定","Set the defragmentation display"
"選択したオブジェクトのサブサーフモディファイアの最適化表示を設定します","Sets optimization for the subsurfmodifaia of the selected object"
"最適化表示","Optimized view"
"選択オブジェクトのサブサーフを削除","Delete select Subsurf"
"選択したオブジェクトのサブサーフモディファイアを削除します","Removes the selected object subsurfmodifaia"
